latest_degree,specialization,currently_employed,current_salary,location,recommended_for_job
PhD,Business Administration,0,45795,New York,1
Master,Electrical Engineering,1,30860,Chicago,0
Bachelor,Business Administration,0,106820,Chicago,1
Master,Business Administration,1,84886,Chicago,1
PhD,Computer Science,0,36265,Los Angeles,0
PhD,Computer Science,1,112386,Houston,1
Master,Computer Science,1,67194,Los Angeles,1
Bachelor,Electrical Engineering,1,117498,San Francisco,1
Bachelor,Computer Science,1,74131,New York,1
PhD,Electrical Engineering,0,90263,San Francisco,1
Master,Electrical Engineering,0,46023,San Francisco,1
Master,Electrical Engineering,0,71090,New York,1
Bachelor,Electrical Engineering,1,97221,San Francisco,0
Bachelor,Computer Science,0,94820,Chicago,1
Bachelor,Electrical Engineering,0,30769,New York,1
Master,Computer Science,0,89735,San Francisco,1
Bachelor,Computer Science,1,92955,Chicago,1
Bachelor,Electrical Engineering,1,94925,Chicago,1
PhD,Computer Science,1,97969,Houston,1
Bachelor,Business Administration,0,35311,Chicago,0
Bachelor,Computer Science,0,113104,Los Angeles,1
Master,Computer Science,0,83707,New York,1
Master,Electrical Engineering,1,115305,New York,0
PhD,Electrical Engineering,0,58693,New York,0
Bachelor,Computer Science,1,101932,San Francisco,1
PhD,Electrical Engineering,1,55658,San Francisco,1
Master,Business Administration,1,114478,Los Angeles,1
PhD,Business Administration,1,48431,Chicago,0
Master,Electrical Engineering,0,32747,San Francisco,0
PhD,Computer Science,0,89150,Chicago,1
PhD,Business Administration,1,95725,Chicago,1
Bachelor,Business Administration,0,114654,San Francisco,0
PhD,Computer Science,1,65773,San Francisco,0
Bachelor,Electrical Engineering,0,97435,Los Angeles,0
Bachelor,Business Administration,0,86886,Houston,0
Bachelor,Computer Science,1,96803,New York,1
Bachelor,Computer Science,1,61551,San Francisco,0
PhD,Business Administration,1,41394,San Francisco,0
Master,Electrical Engineering,1,99092,Chicago,1
Master,Business Administration,0,33890,Houston,0
Master,Computer Science,1,71606,San Francisco,1
PhD,Business Administration,0,110038,Houston,0
Bachelor,Electrical Engineering,1,117313,New York,1
Master,Computer Science,0,40627,Chicago,0
PhD,Electrical Engineering,1,38792,Los Angeles,1
Bachelor,Business Administration,0,103969,New York,1
Master,Business Administration,0,73001,Houston,0
Bachelor,Electrical Engineering,0,106552,Houston,1
Master,Business Administration,1,53897,New York,1
Master,Electrical Engineering,1,98148,Houston,0
Master,Business Administration,1,53483,Los Angeles,1
Bachelor,Electrical Engineering,1,78555,Los Angeles,1
PhD,Electrical Engineering,0,47159,Houston,0
Bachelor,Computer Science,0,110077,Houston,0
Master,Computer Science,0,65920,Los Angeles,1
Bachelor,Electrical Engineering,1,97121,Houston,1
PhD,Business Administration,0,99479,San Francisco,1
Bachelor,Business Administration,0,119475,Chicago,1
PhD,Business Administration,1,49457,San Francisco,1
PhD,Electrical Engineering,1,96557,Houston,0
Bachelor,Electrical Engineering,0,107189,Houston,1
Master,Electrical Engineering,1,108953,Chicago,0
